Talento_TI_20250919[CONVENIO];Talento_TI_20250919[CONVOCATORIA];Talento_TI_20250919[ANIO];Talento_TI_20250919[CODIGO DEPARTAMENTO];Talento_TI_20250919[DEPARTAMENTO DE RESIDENCIA];Talento_TI_20250919[CODIGO DEL MUNICIPIO];Talento_TI_20250919[CIUDAD DE RESIDENCIA];Talento_TI_20250919[ESTRATO];Talento_TI_20250919[GENERO];Talento_TI_20250919[NIVEL DE PROGRAMA];Talento_TI_20250919[CODIGO DEPARTAMENTO IE];Talento_TI_20250919[DEPARTAMENTO IE];Talento_TI_20250919[CODIGO CIUDAD IE];Talento_TI_20250919[CIUDAD IE];Talento_TI_20250919[NOMBRE IE];Talento_TI_20250919[CODIGO IE];Talento_TI_20250919[PROGRAMA ACADEMICO];Talento_TI_20250919[TIPO PROGRAMA];Talento_TI_20250919[MONTO COMPROMETIDO];Talento_TI_20250919[MODALIDAD PROGRAMA];Talento_TI_20250919[META];Talento_TI_20250919[FECHA ACTUALIZACION];Talento_TI_20250919[CODIGO MUNICIPIO RESIDENCIA];Talento_TI_20250919[CODIGO MUNICIPIO IE];Talento_TI_20250919[FECHA VIGENCIA];Talento_TI_20250919[INDICE];Talento_TI_20250919[MES DE CONVOCATORIA];Talento_TI_20250919[MES DE VIGENCIA];Talento_TI_20250919[MONTO PER CAPITA];Talento_TI_20250919[Z SCORE DEL MONTO COMPROMETIDO];Talento_TI_20250919[Z SCORE DEL MONTO PER CAPITA];Talento_TI_20250919[RANKING POR MONTO COMPROMETIDO];Talento_TI_20250919[RANKING POR MONTO PER CAPITA]
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17073;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17202;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17269;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17292;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17306;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17552;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17955;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17993;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;17994;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
CONTRATO 666 DE 2015;Mon, 01 Feb 2016 00:00:00;2016;11;BOGOTA;11001;BOGOTA, D.C.;2;M;VOCACIONAL;11;BOGOTA;11001;BOGOTA, D.C.;PUNTO VIVE DIGITAL SUR BRITALIA;0;HACIATI;OTROS;139002;VIRTUAL;10400;Sat, 31 Dec 2016 00:00:00;11001;11001;Sat, 31 Dec 2016 00:00:00;18159;2;12;13.365.576.923.076.900;-0.3038749260515664;-0.2651723493291793;2810;2812
